,Unnamed: 0,id,Star_name_x,Distance_x,Mass_x,Radius_x,Star_name_y,Distance_y,Mass_y,Radius_y
0,0,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.1017353699999999,Sun,0.000015813,1,1
1,1,1,2MASS J00040288-6410358,192.0,0.018137172,0.1675036899999999,Sirius,0008.6,2.1,1.71
2,2,3,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,Alpha Centauri,0004.4,1.1,1.2
3,3,5,2MASS J00274197+0503417,236.0,0.029592228,0.1479787199999999,Vega,0025,2.2,2.7
4,4,7,2MASSW J0030300-145033,87.2,0.051547752,0.1007077399999999,Rigel,0860,23,78.9
5,5,8,2MASS J00332386-1521309 [de],131.0,0.027683052,0.1469510899999999,Procyon,0011.4,1.5,1.9
6,6,9,2MASS J00345157+0523050,31.0,0.040092696,0.0965972199999999,Betelgeuse,0640[1],20,950
7,7,10,2MASS 0036+1821,28.6,0.040092696,0.0965972199999999,Achernar,0144,6.7,9.3
8,8,11,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,Hadar,0390,10.5,8.6
9,9,12,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335918999999999,Altair,0017,1.8,1.8
10,10,13,2MASS J00501994-3322402 [de],34.0,0.03818352,0.0965972199999999,Acrux,0320,18,8.9
11,11,15,2MASS J00584253-0651239 [de],96.0,0.027683052,0.1469510899999999,Antares,0600,12,680
12,12,17,2MASSI J0103320+193536,70.0,0.049638576,0.1007077399999999,Pollux,0034,1.9,8.8
13,13,18,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.1007077399999999,Fomalhaut,0025,1.9,1.8
14,14,19,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,Deneb,"2,600",19,203
15,15,20,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,Mimosa,0350,16,8.4
16,16,21,SDSS J015141.69+124429.6,70.0,0.044865636,0.0996801099999999,Regulus,0077,3.8,3.1
17,17,25,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.0996801099999999,Gacrux,0088,1.5,84
18,18,26,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,Bellatrix,0240,8.6,5.8
19,19,27,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,Elnath,0130,5.0,4.2
20,20,28,2MASS J02411151-0326587 [de],152.0,0.025773876,0.1448958299999999,Miaplacidus,0110,3.5,6.8
21,21,29,2MASS J02431371−2453298,35.0,0.031501404,0.1017353699999999,Alnilam,"2,000",32,42
22,22,30,LP 771-21,53.0,0.074457864,0.11098404,Gamma Velorum,"01,100",9.0,6
23,23,32,Teegarden's star,12.578,0.07636704,0.1305090099999999,Alioth,0081,2.9,4.2
24,24,33,2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999,Alnitak,01050,33,20
25,25,34,WISE J0254+0223,24.0,0.06204822,0.1952496999999999,Dubhe,0120,4.25,30
26,26,35,DEN 0255-4700,16.2,0.07636704,0.0996801099999999,Mirfak,0590,8.5,68
27,27,36,2MASS J03185403-3421292 [de],45.0,0.046774812,0.0996801099999999,Wezen,"1,600",17,200
28,28,37,2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999,Sargas,0270,5.7,26
29,29,38,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,Kaus Australis,0140,3.5,6.8
30,30,39,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,Avior,0630,9.0,130
31,31,40,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335918999999999,Alkaid,0104,6.1,3.4
32,32,41,2MASS J03284265+2302051 [de],98.0,0.051547752,0.1007077399999999,Menkalinan,081,2.39,2.77
33,33,42,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,Atria,0390,7,92
34,34,43,LP 944-20,20.9,0.069684924,0.1469510899999999,Alhena,0109,2.8,3.3
35,35,44,2MASP J0345432+254023,88.0,0.070639512,0.10790115,Peacock,0180,5.9,4.8
36,36,45,Teide 1,380.0,0.05250234,0.3884441399999999,Alsephina[2],0080,2.4,2.9
37,37,46,2MASS J03510004-0052452,48.0,0.097367976,0.1305090099999999,Mirzam,0500,13.5,10
38,38,47,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,Polaris,0430,5.4,39
39,39,49,2MASS J04151954−0935066,18.6,0.02863764,0.0976248499999999,Mintaka,01200,24,16.5
40,40,51,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,Almaaz,0653,15,140
41,41,52,2MASS J04351612-1606574,34.0,0.0954588,0.1294813799999999,Rasalgethi,0360,2.8,280
42,42,53,2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999,Tau Ceti,011.9,0.783,0.893
43,43,54,2MASS J04390101-2353083 [de],29.5,0.045820224,0.0996801099999999,Delta Pavonis,019.92,0.991,1.22
44,44,56,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999,V382 Carinae,"08,900",20,485
45,45,57,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,Eta Carinae,"07,500",100,60–881
46,46,58,2MASS J04510093-3402150 [de],69.0,0.099277152,7.398935999999999,Delta Cephei,0887,4.5,44.5
47,47,59,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,Mu Cephei,"06,000",19.2,972
48,48,60,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,Titawin,044.25,1.27,1.48
49,49,61,2MASS J05160945-0445499 [de],73.0,0.044865636,0.0996801099999999,Rho Cassiopeiae,"08,154",22,636-981
50,50,62,2MASS J0523−1403,40.0,0.064911984,0.10379063,P Cygni,"05,545",30,76
51,51,64,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,VV Cephei,"04,900",18.2,"516 - 1,050"
52,52,66,LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999,R Doradus,0178,0.7 - 1.0,298
53,53,67,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,Polaris Australis,0281,1.59,3.74
54,54,70,2MASS J06244595-4521548 [de],39.0,0.053456928,0.1017353699999999,Mira,0300,1.2,370
55,55,71,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,RW Cephei,"014,000",13.9,"1,158"
56,56,72,DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115,Lacaille 8760,012.87,0.6,0.51
